Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:47:42,2023-11-13 19:47:43,"1,826s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-13 19:47:43,2023-11-13 19:47:44,"1,066s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:47:44,2023-11-13 19:48:15,"30,257s",PASSED
takeScreenshot(SCREENSHOT),Chrome 119.0.0.0,,,2023-11-13 19:48:15,2023-11-13 19:48:45,"30,216s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:48:45,2023-11-13 19:48:47,"2,013s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:48:47,2023-11-13 19:48:48,"1,356s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-3-LoginInvalido,Chrome 119.0.0.0,,,2023-11-13 19:48:48,2023-11-13 19:50:06,"1m - 17,280s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-13 19:48:49,2023-11-13 19:48:54,"5,492s",PASSED
navigateToUrl(url),Chrome 119.0.0.0,,,2023-11-13 19:48:54,2023-11-13 19:48:56,"1,930s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), USUARIO)",Chrome 119.0.0.0,,,2023-11-13 19:48:56,2023-11-13 19:48:59,"2,678s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), PASSWORD)",Chrome 119.0.0.0,,,2023-11-13 19:48:59,2023-11-13 19:49:01,"2,077s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-13 19:49:01,2023-11-13 19:49:02,"0,967s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-13 19:49:02,2023-11-13 19:49:32,"30,294s",PASSED
takeScreenshot(SCREENSHOT),Chrome 119.0.0.0,,,2023-11-13 19:49:32,2023-11-13 19:50:02,"30,234s",PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-13 19:50:02,2023-11-13 19:50:04,"2,009s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-13 19:50:04,2023-11-13 19:50:06,"1,537s",PASSED
